Warehouse Name,Courses Taken,Pass Rate
SPD Self Installation (Berkeley),62,0.827745665
SPD Self Installation (Chicago),10,0.911290323
SPD Self Installation (New Jersey),16,0.918103448
SPD Self Installation (New York),9,0.886597938
SPD Self Installation (North L.A.),18,0.935837246
SPD Self Installation (Ontario),129,0.964749536
SPD Self Installation (Orlando),72,0.8
SPD Self Installation (Phoenix),100,0.888461538
SPD Self Installation (Sacramento),33,0.940298507
SPD Self Installation (San Diego),128,0.894366197
SPD Self Installation (San Jose),92,0.714876033
